Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM,Measure,Eye
13609L.lvm,1.4362075,2.2790565,5.181085,0.2435225,0.16394625,0.00084984,0.00075961,0.00051247,0.00044382,0.0004962,PRE,L
13609R.lvm,1.422018,2.3039774,5.180318,0.250042,0.193284,0.00084021,0.00088063,0.00084021,0.00084021,0.00068603,PRE,R
13610L.lvm,1.43258556,2.23662844,5.2156,0.25907556,0.22413444,0.00037579,0.00039387,0,0.00037579,0.00037579,PRE,L
13610R.lvm,1.38954833,2.28173617,5.196425,0.26589333,0.1534,0.00052188,0.00054698,0.00070017,0.00066013,0,PRE,R
13611L.lvm,1.294696,2.2959384,5.183386,0.219362,0.1534,0.00068603,0.00088063,0.00068603,0.00084021,0,PRE,L
13611R.lvm,1.2943125,2.2227835,5.2597025,0.22243,0.22147125,0.00044382,0.00053713,0.00044382,0,0.00061443,PRE,R
13651L.lvm,1.50332,2.17053,5.22966167,0.25311,0.18663667,0.00080849,0.00084739,0.00052188,0,0.00066013,PRE,L
13651R.lvm,1.402076,2.2814682,5.11589,0.288392,0.210158,0.00068603,0.00071903,0,0.00084021,0.00084021,PRE,R
13652L.lvm,1.48158833,2.242881,5.257785,0.249275,0.15979167,0.00052188,0,0.00070017,0.00070017,0.00052188,PRE,L
13652R.lvm,1.58769,2.12765533,5.31786667,0.25311,0.095875,0,0.00069189,0.00066013,0,0.00070017,PRE,R
13653L.lvm,1.49236286,2.15904571,5.32955429,0.23667429,0.16216571,0.00058568,0.00061386,0.00041414,0.00041414,0.00041414,PRE,L
13653R.lvm,1.53071286,2.138374,5.30106571,0.24215286,0.18517571,0.00058568,0.00066305,0.00041414,0.00058568,0.00041414,PRE,R
13654L.lvm,1.555476,2.0531606,5.37667,0.250042,0.177944,0.00068603,0.00088063,0,0.00084021,0.00068603,PRE,L
13654R.lvm,1.46733,2.17733223,5.32298,0.25488,0.14868,0.00091354,0.00083142,0.00090124,0.00025873,0.00045309,PRE,R
13609L.lvm,1.4668875,2.6649285,5.549245,0.2320175,0.14477125,0.00067794,0.00075961,0.00051247,0.00044382,0.00033897,POST,L
13609R.lvm,1.49309333,2.59927667,5.5991,0.23904833,0.172575,0.00066013,0.00069189,0,0.00052188,0.00070017,POST,R
13610L.lvm,1.55871444,2.40455422,5.71755889,0.24714444,0.16277444,0.00037579,0.00069826,0.00044916,0.00037579,0.00037579,POST,L
13610R.lvm,1.466504,2.5226382,5.628246,0.239304,0.144196,0.00068603,0.00071903,0.00068603,0.00068603,0.00068603,POST,R
13611L.lvm,1.39253111,2.48226456,5.65449444,0.21135111,0.16362667,0.00086398,0.00086806,0.00056815,0.00044916,0.00042611,POST,L
13611R.lvm,1.42990714,2.403661,5.74921286,0.22133429,0.21695143,0.00058568,0,0.0008621,0.00075611,0.00053465,POST,R
13651L.lvm,1.55701,2.4961095,5.61316167,0.241605,0.149565,0,0.00073386,0.00052188,0.00070017,0.00070017,POST,L
13651R.lvm,1.47154429,2.540324,5.53664429,0.28379,0.16545286,0.00041414,0.00066305,0.00041414,0,0.00058568,POST,R
13652L.lvm,1.589224,2.4084844,5.700344,0.250042,0.187148,0.00068603,0.00088063,0.00068603,0.00084021,0.00084021,POST,L
13652R.lvm,1.48658545,2.56005609,5.68068091,0.26984455,0.12132545,0.00042047,0.00050248,0.00084094,0.00068448,0.00028206,POST,R
13653L.lvm,1.576185,2.4253663,5.777811,0.233168,0.140361,0.00054235,0.00066183,0.00072764,0.00039608,0.00051769,POST,L
13653R.lvm,1.484912,2.5692644,5.666596,0.23777,0.10738,0.00084021,0.00088063,0.00068603,0,0,POST,R
13654L.lvm,1.53144333,2.43313733,5.840705,0.24032667,0.15979167,0.00066013,0.00069189,0.00070017,0.00066013,0.00052188,POST,L
13654R.lvm,1.49236286,2.48060571,5.78427571,0.26187571,0.11066714,0.00058568,0.00061386,0.00075611,0.00041414,0.00058568,POST,R
