Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM,Measure
14621L.lvm,1.42022833,2.35006767,5.38561833,0.26972833,0.16107,0.00052188,0.00069189,0.00052188,0.00052188,0,PRE
14621R.lvm,1.375998,2.4326014,5.33832,0.277654,0.150332,0.00084021,0.00088063,0,0.00068603,0.00084021,PRE
14622L.lvm,1.251744,2.1994704,4.881188,0.286858,0.197886,0.00068603,0.00088063,0.00084021,0.00084021,0.00068603,PRE
14622R.lvm,1.24893167,2.25092,4.90240833,0.25055333,0.13678167,0.00052188,0,0.00052188,0.00066013,0.00052188,PRE
14623L.lvm,1.448096,2.2235874,5.441098,0.242372,0.1534,0.00068603,0.00088063,0.00084021,0.00084021,0,PRE
14623R.lvm,1.415115,2.29379467,5.45464833,0.24416167,0.13678167,0.00070017,0.00069189,0.00052188,0.00052188,0.00052188,PRE
14624L.lvm,1.41298444,2.29558111,5.13719556,0.25225778,0.19601111,0.00056815,0.00047077,0.0009314,0.00028407,0.00044916,PRE
14624R.lvm,1.40141857,2.32441943,5.12356,0.24324857,0.16764429,0.00053465,0.00079249,0.00063261,0.00053465,0.00041414,PRE
14640L.lvm,1.32051833,2.307193,5.119725,0.23521333,0.15851333,0.00052188,0.00084739,0.00070017,0.00066013,0.00066013,PRE
14640R.lvm,1.414348,2.178569,5.117424,0.243906,0.18408,0.00084021,0,0.00068603,0.00068603,0,PRE
14632L.lvm,1.44323833,2.22144367,5.07626167,0.25183167,0.22882167,0.00052188,0.00069189,0.00052188,0.00052188,0.00052188,PRE
14632R.lvm,1.40265125,2.30015887,5.0372725,0.26365625,0.22243,0.00061443,0.00064399,0.00067794,0.0004962,0,PRE
14633L.lvm,1.376765,2.29379467,5.33320667,0.249275,0.21731667,0.00070017,0.00069189,0.00066013,0.00070017,0.00066013,PRE
14633R.lvm,1.3671775,2.291115,5.32969125,0.241605,0.2128425,0.00067794,0.00093033,0.0008001,0.00051247,0.00044382,PRE
14636L.lvm,1.38187833,2.31657183,5.13762167,0.25183167,0.19047167,0.00052188,0.00054698,0.00052188,0.00052188,0.00052188,PRE
14636R.lvm,1.32691,2.39294233,5.11248111,0.26418889,0.14232111,0.00042611,0.00044661,0.00044916,0.00086398,0.00086398,PRE
14639L.lvm,1.340716,2.3345256,5.129696,0.24544,0.17641,0.00068603,0.00088063,0.00068603,0,0,PRE
14639R.lvm,1.43173333,2.22010383,5.03919,0.25311,0.15084333,0.00066013,0.00054698,0,0,0.00066013,PRE
14631L.lvm,1.50204167,2.20402583,5.17469333,0.26333667,0.18152333,0.00052188,0.00054698,0.00066013,0.00066013,0.00066013,PRE
14631R.lvm,1.506388,2.2139406,5.151172,0.266916,0.217828,0.00084021,0.00088063,0.00084021,0.00068603,0.00084021,PRE
14634L.lvm,1.43648143,2.20957657,5.06329571,0.24544,0.21037714,0.00053465,0.00043407,0.00041414,0,0.00058568,PRE
14634R.lvm,1.43538571,2.22565457,5.02385,0.24653571,0.20928143,0.00041414,0.00043407,0.00063261,0.00041414,0.00053465,PRE
14635L.lvm,1.3806,2.26967767,5.16191,0.25950167,0.15467833,0.00080849,0.00069189,0,0.00052188,0.00052188,PRE
14635R.lvm,1.42662,2.22814283,5.16063167,0.25822333,0.20197667,0,0.00054698,0.00052188,0.00066013,0.00066013,PRE
14637L.lvm,1.32978625,2.31623687,5.0296025,0.25982125,0.16107,0.00071333,0.00083859,0.00067794,0.00033897,0.00072475,PRE
14637R.lvm,1.42757875,2.20570063,5.01138625,0.25215125,0.1399775,0.00061443,0.00052007,0.0004962,0.00033897,0.00044382,PRE
14638L.lvm,1.32946667,2.29781417,5.06859167,0.23777,0.18408,0.00066013,0.00054698,0.00052188,0,0,PRE
14638R.lvm,1.2981475,2.35040262,5.03056125,0.23872875,0.12272,0.00067794,0.00052007,0.00095015,0.00033897,0,PRE
14619L.lvm,1.34736333,2.37418467,5.08265333,0.24032667,0.11760667,0.00066013,0.00069189,0.00066013,0.00066013,0.00066013,PRE
14619R.lvm,1.42099533,2.26967767,5.10412933,0.254644,0.17129667,0.00080772,0.00092087,0.00071968,0.00021171,0.00056896,PRE
14620L.lvm,1.32605778,2.32773711,4.96845556,0.24373556,0.13550333,0.00079083,0.00047077,0.00056815,0.00037579,0.00060261,PRE
14620R.lvm,1.308502,2.3345256,4.99317,0.279188,0.1534,0.00084021,0.00088063,0,0.00084021,0,PRE
14625L.lvm,1.45401286,2.299154,5.37338286,0.24544,0.16107,0.00058568,0.00093769,0.00058568,0,0,PRE
14625R.lvm,1.43940333,2.35877658,5.3747525,0.23777,0.14892583,0.00056734,0.00087851,0.00072749,0.00027254,0.00032913,PRE
14641L.lvm,1.40361,2.30183367,5.08776667,0.26141917,0.17385333,0.00086185,0.00091825,0.0003147,0.00018451,0.0003147,PRE
14641R.lvm,1.40151818,2.30500055,5.08102636,0.26147727,0.17989636,0.00070358,0.00066105,0.00036414,0.00021024,0.00047941,PRE
14621L.lvm,1.491815,2.65287,5.85988,0.24544,0.10738,0.00070017,0,0,0,0,POST
14621R.lvm,1.566214,2.5676566,5.86755,0.248508,0.1534,0.00068603,0.00088063,0,0.00084021,0,POST
14622L.lvm,1.35759,2.427778,5.31019667,0.287625,0.18280167,0,0,0.00066013,0.00070017,0.00052188,POST
14622R.lvm,1.353755,2.476012,5.334485,0.24288333,0.10226667,0.00070017,0.00084739,0.00070017,0.00066013,0.00066013,POST
14623L.lvm,1.555476,2.4985212,5.801588,0.23777,0.148798,0.00068603,0.00071903,0.00084021,0,0.00084021,POST
14623R.lvm,1.545505,2.52960533,5.79085,0.23649167,0.13933833,0.00070017,0.00069189,0,0.00052188,0.00052188,POST
14624L.lvm,1.506388,2.5467552,5.54541,0.23777,0.167206,0.00084021,0.00071903,0,0,0.00068603,POST
14624R.lvm,1.48542333,2.63143267,5.48532833,0.22498667,0.172575,0.00066013,0.00069189,0.00052188,0.00066013,0.00070017,POST
14640L.lvm,1.42406333,2.58319867,5.495555,0.226265,0.13294667,0.00066013,0.00069189,0.00070017,0.00070017,0.00066013,POST
