Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM,Measure
14694L.lvm,1.246375,1.98027367,5.04813833,0.23777,0.13039,0.00070017,0.00069189,0.00052188,0,0,PRE
14694R.lvm,1.22634778,1.99188556,5.03407667,0.24884889,0.12442444,0.00051212,0.00059548,0.00042611,0.00044916,0.00037579,PRE
14695L.lvm,1.26555,2.041906,5.106686,0.23777,0.124254,0,0,0.00068603,0,0.00068603,PRE
14695R.lvm,1.18032778,2.210725,5.03919,0.22924778,0.10738,0.00028407,0,0,0.00028407,0,PRE
14696L.lvm,1.29367333,1.97670078,4.85170111,0.24884889,0.14828667,0.00042611,0.00053676,0.00044916,0.00044916,0.00060261,PRE
14696R.lvm,1.20163333,2.16383083,4.74006,0.24544,0.11632833,0.00066013,0.00054698,0,0,0.00052188,PRE
14697L.lvm,1.16036143,2.033867,5.06987,0.25420571,0.18188857,0.00053465,0,0,0.00041414,0.00053465,PRE
14697R.lvm,1.185015,2.0218085,4.98677833,0.25183167,0.17768833,0.00070017,0.00073386,0.00052188,0.00052188,0.00052188,PRE
14698L.lvm,1.31029167,1.9976915,5.073705,0.23521333,0.12527667,0.00052188,0.00073386,0.00070017,0.00066013,0.00066013,PRE
14698R.lvm,1.24733375,2.0780815,5.0602825,0.241605,0.13039,0.00071333,0.00093033,0.0009924,0.00051247,0.00051247,PRE
14699L.lvm,1.27194167,1.98295333,4.90240833,0.25055333,0.16107,0.00096229,0.00069189,0.00052188,0.00066013,0.00080849,PRE
14699R.lvm,1.14283,2.138374,4.80813125,0.24639875,0.12272,0,0.00053713,0.00033897,0.00033897,0,PRE
14700L.lvm,1.300065,1.969555,5.10822,0.23265667,0.12016333,0.00070017,0,0,0.00066013,0.00066013,PRE
14700R.lvm,1.338415,1.9414185,5.15679667,0.241605,0.12399833,0.00070017,0.00073386,0.00066013,0.00070017,0.00052188,PRE
14694L.lvm,1.40361,2.2814682,5.49939,0.242372,0.188682,0,0.00071903,0,0.00084021,0.00084021,POST
14694R.lvm,1.40082091,2.299154,5.52309727,0.23986182,0.14712455,0.00078099,0.00065366,0.00065814,0.0003257,0.00028206,POST
14695L.lvm,1.41032125,2.36246112,5.53102875,0.24448125,0.16969875,0.00061443,0.00035528,0.00033897,0.00033897,0.00061443,POST
14695R.lvm,1.33458,2.53343343,5.51801714,0.22571714,0.09204,0.00063261,0.00079249,0.00058568,0.00058568,0,POST
14696L.lvm,1.37731286,2.33475529,5.29668286,0.24544,0.13696429,0.00058568,0.00061386,0.0008621,0,0.00098585,POST
14696R.lvm,1.34225,2.403661,5.21888714,0.24434429,0.12600714,0.00063261,0.00093769,0.00058568,0.00041414,0.0008621,POST
14697L.lvm,1.31704857,2.347388,5.22107857,0.25858857,0.15449571,0.00082828,0.00066305,0.00053465,0.00053465,0.00041414,POST
14697R.lvm,1.32691,2.3996415,5.20665167,0.23649167,0.180245,0.00080849,0.00073386,0.00052188,0.00052188,0.00070017,POST
14698L.lvm,1.40233167,2.379544,5.45592667,0.23521333,0.16234833,0.00052188,0,0.00066013,0.00066013,0.00052188,POST
14698R.lvm,1.38315667,2.38490333,5.47510167,0.23521333,0.187915,0.00066013,0.00069189,0.00052188,0.00066013,0.00070017,POST
14699L.lvm,1.307735,2.3433685,5.288465,0.26205833,0.16746167,0.00070017,0.00073386,0.00070017,0.00052188,0.00052188,POST
14699R.lvm,2.32571444,1.30321122,7.64699,0.22754333,0.13976444,0.0009314,0.00082888,0.00073805,0.00042611,0.00037579,POST
14700L.lvm,1.43538571,2.34394271,5.59143,0.27064143,0.12600714,0.00041414,0.00061386,0,0.00053465,0.00058568,POST
14700R.lvm,1.521728,2.2332342,5.727956,0.241605,0.132691,0.00039608,0.00073873,0.00060502,0.00040424,0.0003705,POST
