Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM,Measure
13011L.lvm,1.31796167,1.9816135,5.165745,0.23265667,0.12272,0.00052188,0.00073386,0.00070017,0.00066013,0,PRE
13011R.lvm,1.2272,2.13167483,5.09288,0.22243,0.21220333,0.00080849,0.00054698,0,0,0.00066013,PRE
13013L.lvm,1.24509667,1.99903133,5.03407667,0.24544,0.15851333,0.00066013,0.00069189,0.00066013,0,0.00066013,PRE
13013R.lvm,1.24254,2.01510933,5.01106667,0.24671833,0.14700833,0,0.00069189,0.00066013,0.00052188,0.00052188,PRE
13014L.lvm - Corrupt,,,,,,,,,,,PRE
13014R.lvm,1.39594,1.961516,5.15519875,0.2473575,0.16202875,0.00051247,0.00053713,0.00033897,0.00044382,0.00033897,PRE
13017L.lvm,1.26267375,2.12933012,5.21272375,0.24448125,0.16969875,0.0004962,0.00035528,0.00071333,0.00033897,0.00033897,PRE
13017R.lvm,1.368328,1.985633,5.278494,0.243906,0.226265,0.00039608,0.00037896,0.0003234,0.0003234,0.00040424,PRE
13019L.lvm,1.29859,2.02273608,4.92532,0.2478,0.12449,0.00050436,0.00047489,0.00022156,0.00028343,0.00025873,PRE
13019R.lvm,1.21281875,2.1423935,4.86278,0.25311,0.19079125,0.00033897,0.00053713,0,0,0.00033897,PRE
13020L.lvm,1.35759,1.977594,5.158842,0.240838,0.17641,0,0,0.00084021,0.00084021,0,PRE
13020R.lvm,1.36099889,1.96687533,5.23264444,0.23947444,0.18152333,0.00061913,0.0006316,0.00037579,0.00037579,0.00042611,PRE
13021L.lvm,1.2636325,2.00975,4.8685325,0.24256375,0.1438125,0.00067794,0.00093033,0.00084984,0.00071333,0.00044382,PRE
13021R.lvm,1.1462815,2.12269795,4.854343,0.23777,0.1422785,0.00073056,0.00037965,0.0005115,0.00012442,0.0004027,PRE
13024L.lvm,1.21058167,2.13904392,4.843605,0.25055333,0.12016333,0.0002488,0.00019339,0.00033379,0.0003147,0.0003147,PRE
13024R.lvm,1.29686917,2.03922633,4.9030475,0.23840917,0.12272,0.00018451,0.00043634,0.00039729,0.00018451,0,PRE
13011L.lvm,1.45250625,2.36246112,5.4437825,0.22243,0.17161625,0.0004962,0.00035528,0.00044382,0,0.0004962,POST
13011R.lvm,1.51099,2.24734711,5.45166556,0.26845,0.23350889,0,0.00047077,0.00037579,0,0.00044916,POST
13013L.lvm - tag fell off,,,,,,,,,,,POST
13013R.lvm - tag fell off,,,,,,,,,,,POST
13014L.lvm,1.529398,2.3361334,5.55308,0.24544,0.182546,0.00084021,0.00088063,0,0,0.00068603,POST
13014R.lvm,1.48031,2.40634067,5.51473,0.25992778,0.14828667,0.00060261,0.00077355,0,0.00028407,0.00042611,POST
13017L.lvm,1.3786825,2.51017775,5.63745,0.2435225,0.20037875,0.00044382,0.00046517,0,0.00044382,0.00033897,POST
13017R.lvm,1.58002,2.24556067,5.69881,0.24544,0.18152333,0,0.00069189,0,0,0.00066013,POST
13019L.lvm,1.35247667,2.48762389,5.29315222,0.24288333,0.16959222,0.00042611,0.00064891,0.00028407,0.00042611,0.00028407,POST
13019R.lvm,1.41000167,2.43715683,5.29997,0.264615,0.14573,0.00052188,0.00054698,0,0.00070017,0,POST
13020L.lvm,1.550874,2.2862916,5.573789,0.248508,0.16874,0.0003234,0.00067791,0.00051769,0.00039608,0.00051133,POST
13020R.lvm,1.556243,2.2798604,5.638217,0.239304,0.172575,0.00056594,0.00056209,0.00043538,0.0003234,0.00040424,POST
13021L.lvm - tag fell off,,,,,,,,,,,POST
13021R.lvm - tag fell off,,,,,,,,,,,POST
13024L.lvm,1.438125,2.4117,5.34599,0.22498667,0.17129667,0.00070017,0.00084739,0,0.00066013,0.00066013,POST
13024R.lvm,1.476475,2.33264983,5.28463,0.28123333,0.18663667,0.00070017,0.00054698,0,0.00066013,0.00066013,POST
Unknown1L,1.360658,2.3827596,5.511662,0.2301,0.17641,0.00084021,0.00088063,0.00084021,0,0,POST
Unknown1R,1.41042778,2.30808622,5.40394111,0.26674556,0.21646444,0.00028407,0.00029774,0.00044916,0.00037579,0.00037579,POST
Unknown2L,1.49053667,2.24020133,5.43803,0.24032667,0.172575,0.00066013,0.00069189,0,0.00066013,0.00070017,POST
Unknown2R,1.49053667,2.21608433,5.44825667,0.23265667,0.126555,0.00066013,0.00069189,0.00066013,0.00066013,0.00070017,POST
